anchor,positive
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road
"A woman wearing all white and eating, walks next to a man holding a briefcase.",A female is next to a man.
"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats a banana and walks across a street, and there is a man trailing behind her."
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person eating.
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman eating a banana crosses a street
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman is eating a banana.
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is outside
A skier slides along a metal rail.,A skier is near the rail.
A person on skis on a rail at night.,The person skiis
A skier in electric green on the edge of a ramp made of metal bars.,The brightly dressed skier slid down the race course.
A yellow uniformed skier is performing a trick across a railed object.,Somebody is engaging in winter sports.
A blond man is drinking from a public fountain.,The man is drinking water.
Wet brown dog swims towards camera.,A dog is in the water.
Closeup image of a dog swimming.,A dog swims in a body of water.
The furry brown dog is swimming in the ocean.,A dog is swimming.
A big brown dog swims towards the camera.,A dog swims towards the camera.
"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The man with the gray hat and pitchfork is directing the cart.
"A man is leading a Clydesdale up a hay road, within a Old Country.",A man is walking with his horse up a country road.
A farmer fertilizing his garden with manure with a horse and wagon.,The man is fertilizering his garden.
A white horse is pulling a cart while a man stands and watches.,An animal is walking outside.
A small group of church-goers watch a choir practice.,A group watches a practice.
A dog drops a red disc on a beach.,a dog drops a red disc
A man and a woman are walking on a street at the top of a hill.,A man and woman walk on a street.
An elderly man is drinking orange juice at a cafe.,An old man is enjoying a beverage at a cafe.
A couple holding hands walks down a street.,People are holding hands and walking.
A couple walk through a white brick town.,People are walking outdoors.
Children going home from school.,The school children head home.
People listening to a choir in a Catholic church.,Choir singing in mass.
Bicyclists waiting at an intersection.,The bicyclists are outside.
Bicyclists waiting at an intersection.,The bicycles are on a road.
Bicyclists waiting at an intersection.,A person on a bike is near a street.
Bicyclists waiting at an intersection.,Bikers stop and wait for traffic at the intersection.
Bicyclists waiting at an intersection.,Bicyclists waiting their turn to cross.
People waiting at a light on bikes.,People with bikes.
People waiting at a light on bikes.,There are some people outside.
People waiting at a light on bikes.,People are on their bikes.
People waiting at a light on bikes.,The people are on bikes.
People waiting at a light on bikes.,Men and women outside on a street corner.
People on bicycles waiting at an intersection.,People are riding their bicycles.
People on bicycles waiting at an intersection.,People wait on traffic.
People on bicycles waiting at an intersection.,There are bicyclists stopped at a road.
People on bicycles waiting at an intersection.,More than one person on a bicycle is obeying traffic laws.
People on bicycles waiting at an intersection.,There are people on bicycles.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A cart is full of items.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man watches another man.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,"Someone is on top of a cart full of items, while someone else observes."
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is standing on top of a cart.
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is filled to the top.
A boy is drinking out of a water fountain shaped like a woman.,A male is getting a drink of water.
three bikers stop in town.,Bikers stop in towns
three bikers stop in town.,A town has witnessed the arrival of three bikers.
three bikers stop in town.,Bikers stop for gas
three bikers stop in town.,The bikers are in the town.
three bikers stop in town.,A group of bikers are in the street.
Two people loading brush on a trailer attached to a truck.,A couple of people are loading brush onto a trailer that is attached to a truck.
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a bearded man pulls a rope
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man pulls on a rope.
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A bearded man is pulling on a rope.
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is pulling on a rope.
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",The man is able to grow a beard.
A man with facial hair and a red and gray shirt tugging on a piece of rope.,A man has facial hair.
A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,A middle aged oriental woman in a green headscarf and blue shirt is flashing a giant smile
An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.,An Asian woman is smiling at while another lady is rowing.
A boat worker securing line.,A worker is doing something to a boat.
A small girl with a necklace is swimming.,A small girl with a necklace is in the water
a skateboarder skates in the pool.,A skater is in the pool.
"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children.""",A couple carrying a child are walking along water.
"There is a woman holding a baby, along with a man with a save the children bag.",A group of people are possing for an add.
"A family with a baby, the father is wearing a save the children sign.",A man is wearing something with writing on it.
A foreign family is walking along a dirt path next to the water.,A foreign family walks by a dirt trail along a body of water.
A foreign family is walking along a dirt path next to the water.,The family is admiring the water
A foreign family is walking along a dirt path next to the water.,A family of foreigners walks by the water.
A foreign family is walking along a dirt path next to the water.,A family walks along a dirt path.
A foreign family is walking along a dirt path next to the water.,There is a family taking a walk outside.
"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",People are looking at sculptures at a museum.
"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",There are people next to sculptures.
"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",People standing near sculptures
"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",A man and a woman are standing.
"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",There are scultupres nearby.
Group of young women in dresses strolling on the sidewalk.,there are some groups one of them of young females are in dresses strolling for a ramp walk
A man wearing a striped top and jeans does a skateboard trick on some steps while a man who is hunched over photographs him.,a man is photographing a man skateboarding.
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man is taking the picture of a skateboarder who is performing a trick.
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man is taking photos of skateboarding tricks.
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,People take photos outdoors while a man performs exciting skateboarding tricks.
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man is photographing another man.
A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man photographs a skateboarder doing tricks.
One biker is running with their bike while another is riding around them.,People have bikes
"Two people with bicycles, one in front running with a bike and one in back riding.",One person running next to their bike with the person riding their bike behind them.
A young man doing a trick on a skateboard down the stairs while being photographed.,A man being photographed while he does a trick on his skateboard down the stairs.
"A lady in a black and white striped shirt and holding a bouquet of flowers, looks seriously at two gentlemen talking on the steps.",A lady with a serious face is standing with two guys in front of steps outside.
A man walking proudly down the street.,A man is outside.
Four teenage boys are doing cannonballs into a swimming pool.,A group of young men are splashing a lot of water.
Three men standing on grass by the water looking at something on a table.,The three men are outside.
A woman stands behind an outdoor grill with a blue basket of food in her hands.,A woman standing behind a grill outside with a blue basket of food in her hands.
A Land Rover makes its way through a deep pond.,A car drives through the water.
many people relax in the yard.,A group of people are outside.
A car sinking in water.,A car is flooding.
A man wearing black is playing an electric guitar at a concert.,A man is playing the guitar.
A man with wild hair rocks a show playing a guitar center stage.,A guy stands on stage with his guitar.
woman and child on trolley car labeled Powell and market and bay and taylor,The woman is on a trolley.
"Two female medical professionals, one african american& one white, looking over paperwork in a hospital.",There are people at work.
Two ladies are reading through binders.,Some women are reading.
A man in the distance is walking past a brick wall painted with words and graffiti.,Grafffiti on a brick wall.
A woman and a child holding on to the railing while on trolley.,The people are holding onto the rail.
A man in a striped polo shirt is pointing and smiling.,The man seems happy
A guy performing a bicycle jump trick for an audience.,a guy is performing a bike trick
A gray-haired woman in a blue dress coat with snowflakes on it balances something on her head.,The woman is wearing a coat.
Two children play outside in a field.,Kids are playing outdoors.
"One man sits inside and plays the banjo, there are trees behind him outside.",A male sitting indoors.
"Two children, in colorful outfits, playing in a field with a big rock in the middle.",Two kids are playing with a big rock in the field
Two young girls are playing outside in a non-urban environment.,Two girls are playing outside.
"Two children in hats play in an open, rocky field.",The children are playing in a rocky field.
A woman wearing a green and pink dress is dancing with someone wearing a blue top with white pants.,The woman in green and pink is dancing.
Man in gold pants looking at the camera.,Man looking at the camera.
A man in a gold skirt sits in front of the computer.,A man in a gold skirt sitting at his computer watching the computer screen.
Man wearing black t-shirt sitting at a computer desk.,the man is working on the computer
A bearded man in a black t-shirt sits in front of a desk holding a computer.,A man waiting with his computer.
"A man in a gold foils skirt, sitting at a computer desk, looks at the camera with his hands raised to his face.",a man is looking at his webcam
A young girl sitting at a table with a bowl on her head,A young girl has a bowl on her head
A man dances with a fire baton at night.,the man is dancing
A doctor checks the stomach of a toddler.,The toddler is getting a checkup.
Young blond woman putting her foot into a water fountain,A person is dipping her foot into water.
A young woman tries to stick her foot in a fountain.,A woman is near a fountain.
A young woman tries to stick her foot in a fountain.,The woman has one foot in the air.
A woman in capri jeans crouches on the edge of a fountain with her left foot kicked out to touch the falling water.,A woman is like to touch the water in fountain
Woman balancing on edge of fountain while sticking her toe in the water.,A woman stand on a fountain and dips her toes in.
A couple strolls arm and arm and hand in hand down a city sidewalk.,The couple is outdoors.
A man stare at a passing couple while walking down the block.,A man stares at a passing couple.
"a couple are holding hands behind their backs while walking down a street, and the man has his arm around her shoulder.",couple walking
A man and a woman are holding hands as they walk along a city sidewalk.,A man and a woman are holding hands.
New sport is being played to show appreciation to the kids who can not walk.,People are playing a sport in honor of crippled people.
Two men in wheelchairs are reaching in the air for a basketball.,Two people in wheelchairs are reaching in the air for a basketball.
Three wheelchair basketball players wearing team uniforms are attempting to reach the descending basketball with other players in the background.,Three wheelchair basketball players playing basketball in field.
Four guys in wheelchairs on a basketball court two are trying to grab a basketball in midair.,Four guys are playing basketball.
Three dogs in different shades of brown and white biting and licking each other.,there are three dogs
"Two dogs playfully bite a third dog, which has its tongue sticking out.",A pair of dogs tease a third with nibbles.
Three small puppies bite and play together in the grass.,Three puppies are playing outside.
Two dogs biting another dog in a field.,dogs attacking another dog
Tourists waiting at a train stop.,A group of tourist waiting for a train at a train station.
A doctor in blue scrubs is performing an operation assisted by two men and a woman.,a old man was talking
A woman with a black jacket walks past an outdoor movie poster.,A woman walking outside.
A man in an elf hat holding a white umbrella is standing on the sidewalk with two other men.,A man stands.
Indian lady and a guy in a blue suit dancing in the sunlight.,Two people dancing outdoors.
Two older men are talking.,Two people are having a conversation.
A mountain biker jumping a slope outdoors in a forest area.,A biker is doing jumps by trees.
A mountain biker jumping a slope outdoors in a forest area.,The biker is jumping into a hole.
A mountain biker jumping a slope outdoors in a forest area.,A person rides a bike outdoors.
A mountain biker jumping a slope outdoors in a forest area.,There's a biker
A mountain biker jumping a slope outdoors in a forest area.,They are avoiding trees.
Two older men in winter coats talking outside of a shop with a grassy lawn covered in a light coat of snow in front of it.,Two old men in winter coats talk outside.
"Two elderly men having a conversation, snow covered grass in the background.",There are two men outside in this picture
Two men are standing outside and snow is on the ground.,People are near snow.
Two older men in coats are standing outside.,They are outside wearing coats.
A gentleman in a purple scarf and hat is looking at money while holding an accordion.,A man is holding an accordian.
BMX biker jumps over a ravine.,there is a bmx biker who is perfect in ravine jumping
A white bike is tied to a street sign.,the bike is tied to a sign
A white bike is leaning against a post.,A bike it outside
The boy locked the cycle and went away.,A boy walking away.
A crowded city during daytime.,A city filled with people in the middle of the daytime.
People walking around in a big city.,People are outside.
A busy city that looks like New York City.,The city has a lot of people in it.
"A view of buildings and people walking across the streets in Times Square, New York City.",There is a city.
A woman is making a clay pot.,An artist is sculpting with clay.
A barber waiting for customers.,A barber is at work.
A man sitting in a barber shop.,There is an individual waiting indoors.
A woman preparing to glaze a bowl.,A woman preparing to glaze
"A woman wearing an apron inspects a large pot on a table filled with cups, bowls, pots and baskets of assorted size.",A woman is wearing an apron.
A model posing to look as if she's a real female soccer player.,A model is doing a shoot.
Firemen emerge from a subway station.,Firemen walking outside
Exhausted looking firemen are walking.,Firemen are walking.
"Three firefighters, the nearest firefighter is holding a helmet in his left hand.",The firemen are gathered one is holding his helmet.
A man walking along side a clean up crew.,The man walked alongside the crew.
A little boy swims underwater.,A child swimming.
A driver is racing his Ford vehicle on a gravel track.,A Ford is being driven on a track.
Three guys and a girl are all jumping in a pool together.,The people are all jumping into a body of water.
"A little boy underwater in a pool, holding a plastic dinosaur.",Small boy in pool holds toy.
A little boy swimming underwater with a toy in his hand.,A little boy is underwater.
A man wearing a white shire shirt and hate is riding a bucking horse in a rodeo.,A man is being bucked on a horse.
"A saddle bronc rider gets lifted out of the saddle, but keeps his grip during his ride.",The man rides an animal.
a woman with a straw hat working on a strange machine with coconuts at her side.,A woman is at a machine.
A man wearing a rice hat is shucking corn using a corn shucker and is surrounded by trees.,There is a person processing vegetables.
a woman wearing a Chinese straw hat operating some sort of stainless steel machine in what appears to be a park.,The woman is outdoors with a machine.
A woman on the side of a street is making food on her cart.,A person is cooking.
A man in blue shorts and without a shirt is jogging down the road while listening to his iPod.,The man is running.
Women exercising one woman has a green mat and black outfit on.,The women are exercising.
Students practicing yoga in a class setting.,A yoga class is in progress.
People are stretching on yoga mats.,The people stretched on yoga mats.
A group of people are doing yoga.,The people are doing yoga
Motorcyclist performing while two men watch.,Men watching motorcyclist.
The young man is waiting with others on the sidewalk.,there is a group of people waiting outside
Two people pose for the camera.,People pose for a picture.
A man is sleeping on the grass.,The man is laying down to sleep
A white and brown dog is leaping through the air.,The white and brown dog is in the air.
A row of legs and black boots with a boy sitting at the end of the row.,A boy sits at peoples feet.
A man in blue lies on a mostly-barren patch of grass while small groups of people congregate in the distance.,A man is wearing blue.
Various people hanging around outside of a building.,There are a group of people are standing outside.
A little girl follows two guys with umbrellas down a path.,The people are outside.
A lady is on the floor packing a suitcase.,She is packing.
Little girl in a blue and yellow plaid outfit and blue hat is running along the trail.,A girl is running on the trail.
"Little girl walking along a dirt, rock, and grass path wearing a blue hat many steps behind two people wearing backpacks and holding umbrellas.",3 people are walking along a path.
The blond woman is searching for medical supplies in a suitcase.,A blonde woman looks for things in a suitcase.
Stacks of neatly folded clothing cover most of this floor while a woman with a beige shirt and jeans busily fills a suitcase.,A woman is filling a suitcase.
A young woman packs belongings into a black suitcase.,A young woman packs belongings into a black luggage carrier.
People going for a long walk to the mountains.,The people are walking outdoors.
A man resting on a street.,A man resting on a street.
A woman in costume is marching with a large drum.,She plays in a band.
"A man carrying a load of fresh direct boxes on car with wheels in the city streets, as a woman walks towards him.",Someone is toting packages in an urban setting.
a motorcyclist does a nose wheelie.,A man doing a wheelie
a motorcyclist does a nose wheelie.,A motorcyclist doing a wheelie
A man sitting on a scooter on the curb.,"A man is outside, near the street."
A man stopping on the sidewalk with his bike to have a smoke.,The man is standing.
A man is sitting on a motorcycle on the sidewalk.,A man is sitting on a motorcycle.
Man smokes while sitting on a parked scooter.,The man is smoking something while sitting on the scooter.
Man on the sidewalk sitting on a motorcycle.,Man sitting on a motorcycle on the sidewalk
"A couple, wearing black, burgundy, and white, dance.",The couple danced.
People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.,People wait for a race to begin.
People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.,People in orange vests await the beginning of a race.
People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.,People are wearing colorful clothes
People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.,People are waiting for a race.
People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.,the runners waited to start the race
A young man and young lady dancing on a carpeted floor with a picture from the movie Toy Story on a big screen in the background.,The two people are dancing.
The skier is wearing a yellow jumpsuit and sliding across a yellow rail.,The skier is wearing a jumpsuit.
A track event held by J.P. Morgan Chase with security.,J.P. Morgan Chase held a track event.
"Two people dancing, wearing dance costumes.",The people are moving.
An english farmer with a horse pulled wagon.,There is a farmer with a horse wagon
Children's soccer game being played while the sun sets in the background.,Children playing soccer while the sun sets.
A soccer game played by a blue team and a red team on a perfectly manicured field at dusk.,People are playing soccer.
Two soccer teams are competing on a soccer field.,There is a soccer game.
Soccer teams play on a field as the sun sets behind a line of trees.,Soccer teams are competing outdoors.
two men serving preparing food.,Two men serving food.
A soccer game occurring at sunset.,a sports game is being played
White small child wearing a brown and gray striped hoodie plays at park.,A child plays at a park.
A little boy in brown pants is playing on ropes at a park.,There is a little boy in brown pants.
Toddler in striped sweatshirt plays on rope on playground.,A child plays on a playground.
A man in a blue shirt is looking up.,A person looks up.
Three girls on an amusement ride enjoying themselves.,There are three girls
Woman at Walmart check-out having her groceries bagged by an employee.,A woman is in Walmart
Brown dog treads through water.,Brown dog treads through water as he is soaked in water
A woman is waiting with children as she is checked out at Walmart.,A woman has children with her at the check out counter.
A blond woman with two children is checking out at a Walmart register.,A mother is with her two children at walmart
A woman sitting in a laundromat looking at the camera.,There is a woman in a room.
A young boy paddles across the water in a makeshift boat.,A boy is in a boat.
A baseball player is about to throw a baseball.,A baseball player is swinging to hit the ball.
A dog zips along the beach.,A dog is outside.
A white dog runs along a rocky shoreline.,A dog is running outside.
A fuzzy white lap dog runs along a rocky beach.,A dog runs across the beach.
A small white dog running on a pebble covered beach.,A dog on the beach.
A baseball player is putting all his might in to throwing a ball.,Pitcher is winding up a throw
Cheerleaders are on the field cheering.,Some people are cheering on a field.
Cheerleaders are on the field cheering.,There are people outdoors.
Cheerleaders are on the field cheering.,Cheerleaders cheer on a field for an activity.
Cheerleaders are on the field cheering.,People cheering.
Cheerleaders are on the field cheering.,Cheerleaders cheering.
A woman holding a boombox.,A person holding a boombox.
A woman in a blue shirt and green hat looks up at the camera.,A woman wearing a blue shirt and green hat looks at the camera
Cheerleaders are doing a cheer at a football field.,The cheerleaders are wearing clothes.
"An excited, smiling woman stands at a red railing as she holds a boombox to one side.",A human standing.
A lady is kneeling wearing a blue shirt.,A lady is close to the floor.
The silhouette of three people in front of a wall.,The people are by the wall.
Two people wearing blue clothing are making hand gestures next to one another.,Two people are next to each other.
A spotted black and white dog splashes in the water.,the dog is in the water
"A large group, wearing pink shirts, waves to onlookers.",A crowd gesticulates.
A baby is playing with a strand of beads.,The baby is playing.
People are on a stage performing.,pwople are on stage
A woman is running a marathon in a park.,The woman is outdoors.
A group of people point forwards while performing some kind of act.,A group of people point forwards while doing something.
Several people are dancing together in sync.,people are dancing.
Group of people dancing,people dance together
An adult couple enjoys time in a hot tub.,A couple is in a hot tub.
An average looking man is playing the guitar.,The man knows how to play guitar.
Two tan and white dogs and one tan dog racing down the beach near the water.,three dogs are outside
A man and woman are walking down the street holding hands.,A couple of people are holding hands while walking.
A man is using his computer while seated at a desk.,A man sits at a desk.
A camera crew is filming two women in formal dresses sitting on a blanket in the middle of a park.,Someone is filming.
man sitting down playing a game of chess alone,A guy playing a board game by himself.
Young woman running as two guys in the back try to catch up to her.,group of people running
A man in a blue shirt sits outside alone with a chessboard laid out in front of him.,Someone sitting outside behind a chessboard.
A man dressed in blue shirt and shorts sits at a table while playing black in chess.,A man is playing a game
A young man in a blue blazer and shorts sits alone in front of table with a chess game set up.,A man sits in front of a set up chess game.
A young Asian man sits behind a set chessboard waiting for the other player to arrive.,A young man is sitting.
"Two young men drink beer, leaning on a graffitied wall.",The men are drinking.
A man being airlifted to safety after being in danger.,A man is being moved.
People in a meeting setting paying attention to a speaker in an orange shirt.,The people are listening to a speaker.
A meeting of young people sitting at a conference table.,young people are gathered around a table
A woman in a red shirt is speaking at a table in a room where three other people are listening to her.,the woman is wearing a red shirt.
A woman talks to two other women and a man with notepads in an office building with large windows.,A woman talks to others indoors.
A woman talks to two other women and a man with notepads in an office building with large windows.,a woman in an office building talks to two other women and a man with notepads
A woman talks to two other women and a man with notepads in an office building with large windows.,a woman is talking
A woman talks to two other women and a man with notepads in an office building with large windows.,Four people stand near a wall speaking to each other.
A woman talks to two other women and a man with notepads in an office building with large windows.,A woman talks to two other women.
A classroom of students discussing lecture.,A classroom is discussing the topics of the day.
A man holds a clipboard and a pen as a woman looks at them.,A woman is looking at a man's possessions
A man with a bright green shirt is talking to a woman in a pink shirt.,A couple is talking.
A man in a green shirt holds out a clipboard for a woman in pink's attention.,A man wants a woman to look at his clipboard
A man in a bright green shirt shows a woman in a bright pink shirt something on a clipboard.,A man shows a woman something.
A man in a bright green shirt shows a woman in a bright pink shirt something on a clipboard.,The man has something to tell the woman.
A man in a bright green shirt shows a woman in a bright pink shirt something on a clipboard.,Two people are looking at a clipboard.
A man in a bright green shirt shows a woman in a bright pink shirt something on a clipboard.,There is a man and a woman.
A man in a bright green shirt shows a woman in a bright pink shirt something on a clipboard.,A man is wearing a bright green shirt
A man on a street in a bright t-shirt holds some sort of tablet towards a woman in a pink t-shirt and shades.,The man and woman are outdoors.
A man on a street in a bright t-shirt holds some sort of tablet towards a woman in a pink t-shirt and shades.,A man and a woman are outside.
A man on a street in a bright t-shirt holds some sort of tablet towards a woman in a pink t-shirt and shades.,A woman is shown a tablet by a man standing on the street.
A man on a street in a bright t-shirt holds some sort of tablet towards a woman in a pink t-shirt and shades.,There are some people in a street
A man on a street in a bright t-shirt holds some sort of tablet towards a woman in a pink t-shirt and shades.,A man is showing a woman something
A child with a yellow cup and milk all over his face.,The child had milk all over his face.
Two barefoot men are playing on a green lawn outside a building with other people in the background.,Two men are barefoot on the lawn.
Small laughing child with blond-hair sitting at a table holding a green sippy cup.,The child is happy.
A little boy drinks milk and gets milk all over his face and table.,the kid has milk on his face
Two pre-teen girls listening to music on an MP3 player with headphones.,Thre are girls.
A man is running behind a dogsled being pulled by four dogs.,A man is running  behind a sled.
Toddler with milk around his mouth.,A child has milk on their face.
Toddler with milk around his mouth.,A child was making a mess with milk.
Toddler with milk around his mouth.,A child.
Toddler with milk around his mouth.,Toddler wearing mik
Toddler with milk around his mouth.,The toddler has milk around the corners of his mouth.
A man dressed in warm clothing sleds behind four dogs in the snow.,The man is outside sledding.
A cowboy Roping a calf in a rodeo.,A person is performing.
Men fish on a concrete slab.,Men are near the water.
A man wearing a blue shirt screaming or yelling with his arms raised up in the air.,A man makes a ruckus.
"Four people near a body of water, one sitting and three standing, while two people walk on a nearby sidewalk.",one person sits while three stand near a body of water.
"Four people near a body of water, one sitting and three standing, while two people walk on a nearby sidewalk.",There are people on a sidewalk.
"Four people near a body of water, one sitting and three standing, while two people walk on a nearby sidewalk.",People are near water.
"Four people near a body of water, one sitting and three standing, while two people walk on a nearby sidewalk.",Four people congregate near the water.
"Four people near a body of water, one sitting and three standing, while two people walk on a nearby sidewalk.",There are people outdoors.
Two little girls lie on the carpet next to an O made of wooden blocks.,Two girls lay next to wooden blocks.
People are fishing and walking next to the water.,People are fishing and walking next to the water.
Two guys playing football on a campus green.,There are some guys in this picture
Asian school children sitting on each others shoulders.,Schoolchildren together
A man wearing a red sweater is sitting on a car bumper watching another person work.,there was a speed breaker on the road by which people are taking care
A young woman frolicking on the lawn in front of the us capitol building.,A young lady playing in front of the capitol building.
a man wearing a multicolored striped shirt playing the guitar on the street,A man in a colorful shirt is playing an instrument.
A man wearing a colorful and striped sweater plays music in the street.,The man is playing music on an instrument.
A man wearing a multi-color coat is playing the guitar on the street.,The man plays guitar
Street performer in colorful shirt performing with small guitar.,A street performer is trying to earn extra money.
Two men are painting a building while a third is walking past on his cellphone.,A building is being painted.
Two men are on scaffolding as they paint above a storefront while a man on the sidewalk stands next to them talking on the phone.,Three men are outside.
A blue excavator digging a large hold in cement.,a child was there
A man with khaki shorts on is holding a little girls hand while she walks in the water of a creek.,A man is holding a girls hand and walking through a creek.
Two women are walking down a dirt path carrying loads on their heads.,Two people are walking down a path.
A street vendor in Asia tries to bring in more customers.,A vendor trying to attract costumers.
Young woman in a cafe checking her cellphone.,A woman is inside.
A woman and a girl are playing in a field of leaves,Two people are outside.
two small girls walk along the leaves.,The two girls are outside.
"A girl wearing a blue shirt, shorts, and sneakers is seated on a stool at a round table, looking at her phone.",The girl is sitting.
Young lady dressed in black shorts and light blue shirt sitting outside at a public table looking at a picture on her camera with her left hand on her face.,A young lady is looking at a picture.
Young lady dressed in black shorts and light blue shirt sitting outside at a public table looking at a picture on her camera with her left hand on her face.,A lady looks at a picture on her camera
Young lady dressed in black shorts and light blue shirt sitting outside at a public table looking at a picture on her camera with her left hand on her face.,Lady sits gazing at a camera.
Young lady dressed in black shorts and light blue shirt sitting outside at a public table looking at a picture on her camera with her left hand on her face.,A young lady is looking at her camera.
Young lady dressed in black shorts and light blue shirt sitting outside at a public table looking at a picture on her camera with her left hand on her face.,A lady at a table takes pictures.
"A woman sitting at a table, taking a picture.",THe woman is sitting down
A woman in a blue shirt is sitting at a table and looking at her cellphone.,a woman looking at her cellphone
"A boy in a blue, yellow, and orange shirt holding his arms out from his sides.",A boy in a tri-colored shirt has his arms out to the side.
"A boy in a blue, yellow, and orange shirt holding his arms out from his sides.",The boy is wearing a shirt.
"A boy in a blue, yellow, and orange shirt holding his arms out from his sides.",He is wearing a multicolored shirt
"A boy in a blue, yellow, and orange shirt holding his arms out from his sides.",The boy is young.
"A boy in a blue, yellow, and orange shirt holding his arms out from his sides.",A boy in multi-colored shirt hold his arms out from his sides
