anchor,positive,negative
The woman is wearing black.,A woman with tattoos who is wearing a black tank top looks at the ground.,Woman in white top eating lunch at a bench.
The woman is wearing black.,A woman with tattoos who is wearing a black tank top looks at the ground.,A woman dressed in blue hits a tennis ball with an intense expression on her face.
The woman is wearing black.,A woman with tattoos who is wearing a black tank top looks at the ground.,A woman in pink is standing alone in the middle of the street.
The woman is wearing black.,A woman with tattoos who is wearing a black tank top looks at the ground.,A man in a black shirt and white helmet riding a bike over rocky ground.
The woman is wearing black.,A woman with tattoos who is wearing a black tank top looks at the ground.,A woman in a white shirt is looking at a paper.
The woman is wearing black.,A woman with tattoos who is wearing a black tank top looks at the ground.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.
The woman is wearing black.,A woman with tattoos who is wearing a black tank top looks at the ground.,Female in a white dress walking through sand mounds.
The woman is wearing black.,A woman wearing black is resting her hands on a container.,Woman in white top eating lunch at a bench.
The woman is wearing black.,A woman wearing black is resting her hands on a container.,A woman dressed in blue hits a tennis ball with an intense expression on her face.
The woman is wearing black.,A woman wearing black is resting her hands on a container.,A woman in pink is standing alone in the middle of the street.
The woman is wearing black.,A woman wearing black is resting her hands on a container.,A man in a black shirt and white helmet riding a bike over rocky ground.
The woman is wearing black.,A woman wearing black is resting her hands on a container.,A woman in a white shirt is looking at a paper.
The woman is wearing black.,A woman wearing black is resting her hands on a container.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.
The woman is wearing black.,A woman wearing black is resting her hands on a container.,Female in a white dress walking through sand mounds.
The woman is wearing black.,A woman in black and a jeep in blue.,Woman in white top eating lunch at a bench.
The woman is wearing black.,A woman in black and a jeep in blue.,A woman dressed in blue hits a tennis ball with an intense expression on her face.
The woman is wearing black.,A woman in black and a jeep in blue.,A woman in pink is standing alone in the middle of the street.
The woman is wearing black.,A woman in black and a jeep in blue.,A man in a black shirt and white helmet riding a bike over rocky ground.
The woman is wearing black.,A woman in black and a jeep in blue.,A woman in a white shirt is looking at a paper.
The woman is wearing black.,A woman in black and a jeep in blue.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.
The woman is wearing black.,A woman in black and a jeep in blue.,Female in a white dress walking through sand mounds.
The woman is wearing black.,Woman in black poses near a pyramid fountain.,Woman in white top eating lunch at a bench.
The woman is wearing black.,Woman in black poses near a pyramid fountain.,A woman dressed in blue hits a tennis ball with an intense expression on her face.
The woman is wearing black.,Woman in black poses near a pyramid fountain.,A woman in pink is standing alone in the middle of the street.
The woman is wearing black.,Woman in black poses near a pyramid fountain.,A man in a black shirt and white helmet riding a bike over rocky ground.
The woman is wearing black.,Woman in black poses near a pyramid fountain.,A woman in a white shirt is looking at a paper.
The woman is wearing black.,Woman in black poses near a pyramid fountain.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.
The woman is wearing black.,Woman in black poses near a pyramid fountain.,Female in a white dress walking through sand mounds.
The woman is wearing black.,A brown dog pays no attention to a young woman dressed in black passing nearby.,Woman in white top eating lunch at a bench.
The woman is wearing black.,A brown dog pays no attention to a young woman dressed in black passing nearby.,A woman dressed in blue hits a tennis ball with an intense expression on her face.
The woman is wearing black.,A brown dog pays no attention to a young woman dressed in black passing nearby.,A woman in pink is standing alone in the middle of the street.
The woman is wearing black.,A brown dog pays no attention to a young woman dressed in black passing nearby.,A man in a black shirt and white helmet riding a bike over rocky ground.
The woman is wearing black.,A brown dog pays no attention to a young woman dressed in black passing nearby.,A woman in a white shirt is looking at a paper.
The woman is wearing black.,A brown dog pays no attention to a young woman dressed in black passing nearby.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.
The woman is wearing black.,A brown dog pays no attention to a young woman dressed in black passing nearby.,Female in a white dress walking through sand mounds.
The woman is wearing black.,A woman in all black throws a football indoors while man looks at his cellphone in the background.,Woman in white top eating lunch at a bench.
The woman is wearing black.,A woman in all black throws a football indoors while man looks at his cellphone in the background.,A woman dressed in blue hits a tennis ball with an intense expression on her face.
The woman is wearing black.,A woman in all black throws a football indoors while man looks at his cellphone in the background.,A woman in pink is standing alone in the middle of the street.
The woman is wearing black.,A woman in all black throws a football indoors while man looks at his cellphone in the background.,A man in a black shirt and white helmet riding a bike over rocky ground.
The woman is wearing black.,A woman in all black throws a football indoors while man looks at his cellphone in the background.,A woman in a white shirt is looking at a paper.
The woman is wearing black.,A woman in all black throws a football indoors while man looks at his cellphone in the background.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.
The woman is wearing black.,A woman in all black throws a football indoors while man looks at his cellphone in the background.,Female in a white dress walking through sand mounds.
The woman is wearing black.,"A woman in black holds a cigarette and a shopping bag, while an older woman crosses the street.",Woman in white top eating lunch at a bench.
The woman is wearing black.,"A woman in black holds a cigarette and a shopping bag, while an older woman crosses the street.",A woman dressed in blue hits a tennis ball with an intense expression on her face.
The woman is wearing black.,"A woman in black holds a cigarette and a shopping bag, while an older woman crosses the street.",A woman in pink is standing alone in the middle of the street.
The woman is wearing black.,"A woman in black holds a cigarette and a shopping bag, while an older woman crosses the street.",A man in a black shirt and white helmet riding a bike over rocky ground.
The woman is wearing black.,"A woman in black holds a cigarette and a shopping bag, while an older woman crosses the street.",A woman in a white shirt is looking at a paper.
The woman is wearing black.,"A woman in black holds a cigarette and a shopping bag, while an older woman crosses the street.",Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.
The woman is wearing black.,"A woman in black holds a cigarette and a shopping bag, while an older woman crosses the street.",Female in a white dress walking through sand mounds.
The woman is wearing white.,A woman wearing white reaches high above herself to hit a tennis ball.,A young woman in a dark tank top and orange sunglasses plays the drums.
The woman is wearing white.,A woman wearing white reaches high above herself to hit a tennis ball.,A sad woman in a black shirt walking down the street.
The woman is wearing white.,A woman wearing white reaches high above herself to hit a tennis ball.,a man in black hugs a woman in black.
The woman is wearing white.,"A woman wearing a white shirt and a short, black skirt is in motion on a green, artificial surface.",A young woman in a dark tank top and orange sunglasses plays the drums.
The woman is wearing white.,"A woman wearing a white shirt and a short, black skirt is in motion on a green, artificial surface.",A sad woman in a black shirt walking down the street.
The woman is wearing white.,"A woman wearing a white shirt and a short, black skirt is in motion on a green, artificial surface.",a man in black hugs a woman in black.
The woman is wearing white.,A woman in a white coat pushes a cart.,A young woman in a dark tank top and orange sunglasses plays the drums.
The woman is wearing white.,A woman in a white coat pushes a cart.,A sad woman in a black shirt walking down the street.
The woman is wearing white.,A woman in a white coat pushes a cart.,a man in black hugs a woman in black.
The woman is wearing white.,An Indian woman wearing loose fitting white clothing poses for a picture while bundling grass with two Westerners.,A young woman in a dark tank top and orange sunglasses plays the drums.
The woman is wearing white.,An Indian woman wearing loose fitting white clothing poses for a picture while bundling grass with two Westerners.,A sad woman in a black shirt walking down the street.
The woman is wearing white.,An Indian woman wearing loose fitting white clothing poses for a picture while bundling grass with two Westerners.,a man in black hugs a woman in black.
The woman is wearing white.,"A woman in a white dress, a man in a green shirt, three other people and a child are visiting inside a home.",A young woman in a dark tank top and orange sunglasses plays the drums.
The woman is wearing white.,"A woman in a white dress, a man in a green shirt, three other people and a child are visiting inside a home.",A sad woman in a black shirt walking down the street.
The woman is wearing white.,"A woman in a white dress, a man in a green shirt, three other people and a child are visiting inside a home.",a man in black hugs a woman in black.
The woman is wearing white.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A young woman in a dark tank top and orange sunglasses plays the drums.
The woman is wearing white.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A sad woman in a black shirt walking down the street.
The woman is wearing white.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,a man in black hugs a woman in black.
The woman is wearing white.,A woman in white directs a group of young people making a pattern with sticks.,A young woman in a dark tank top and orange sunglasses plays the drums.
The woman is wearing white.,A woman in white directs a group of young people making a pattern with sticks.,A sad woman in a black shirt walking down the street.
The woman is wearing white.,A woman in white directs a group of young people making a pattern with sticks.,a man in black hugs a woman in black.
The woman is wearing white.,A woman in a white outfit holds her purse while on a crowded bus.,A young woman in a dark tank top and orange sunglasses plays the drums.
The woman is wearing white.,A woman in a white outfit holds her purse while on a crowded bus.,A sad woman in a black shirt walking down the street.
The woman is wearing white.,A woman in a white outfit holds her purse while on a crowded bus.,a man in black hugs a woman in black.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street.,There are no women in the picture.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street.,Two people ride bicycles into a tunnel.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street.,Two adults run across the street to get away from a red shirted person chasing them.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street.,Some people board a train.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street.,Two adults swimming in water
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The adults are both male and female.,There are no women in the picture.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The adults are both male and female.,Two people ride bicycles into a tunnel.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The adults are both male and female.,Two adults run across the street to get away from a red shirted person chasing them.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The adults are both male and female.,Some people board a train.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The adults are both male and female.,Two adults swimming in water
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across a street.,There are no women in the picture.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across a street.,Two people ride bicycles into a tunnel.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across a street.,Two adults run across the street to get away from a red shirted person chasing them.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across a street.,Some people board a train.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across a street.,Two adults swimming in water
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road,There are no women in the picture.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road,Two people ride bicycles into a tunnel.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road,Two adults run across the street to get away from a red shirted person chasing them.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road,Some people board a train.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road,Two adults swimming in water
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk away from a restaurant across a street.,There are no women in the picture.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk away from a restaurant across a street.,Two people ride bicycles into a tunnel.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk away from a restaurant across a street.,Two adults run across the street to get away from a red shirted person chasing them.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk away from a restaurant across a street.,Some people board a train.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk away from a restaurant across a street.,Two adults swimming in water
"A woman wearing all white and eating, walks next to a man holding a briefcase.",A female is next to a man.,A married couple is sleeping.
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman is eating a banana.,"A woman eats ice cream walking down the sidewalk, and there is another woman in front of her with a purse."
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman is eating a banana.,The woman and man are playing baseball together.
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman is eating a banana.,a woman sits for lunch
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman is eating a banana.,the woman is having coffee at the cafe
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman is eating a banana.,Nobody has food.
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is outside,"A woman eats ice cream walking down the sidewalk, and there is another woman in front of her with a purse."
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is outside,The woman and man are playing baseball together.
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is outside,a woman sits for lunch
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is outside,the woman is having coffee at the cafe
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is outside,Nobody has food.
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person eating.,"A woman eats ice cream walking down the sidewalk, and there is another woman in front of her with a purse."
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person eating.,The woman and man are playing baseball together.
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person eating.,a woman sits for lunch
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person eating.,the woman is having coffee at the cafe
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person eating.,Nobody has food.
"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats a banana and walks across a street, and there is a man trailing behind her.","A woman eats ice cream walking down the sidewalk, and there is another woman in front of her with a purse."
"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats a banana and walks across a street, and there is a man trailing behind her.",The woman and man are playing baseball together.
"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats a banana and walks across a street, and there is a man trailing behind her.",a woman sits for lunch
"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats a banana and walks across a street, and there is a man trailing behind her.",the woman is having coffee at the cafe
"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats a banana and walks across a street, and there is a man trailing behind her.",Nobody has food.
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman eating a banana crosses a street,"A woman eats ice cream walking down the sidewalk, and there is another woman in front of her with a purse."
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman eating a banana crosses a street,The woman and man are playing baseball together.
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman eating a banana crosses a street,a woman sits for lunch
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman eating a banana crosses a street,the woman is having coffee at the cafe
"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman eating a banana crosses a street,Nobody has food.
A skier slides along a metal rail.,A skier is near the rail.,A skier is away from the rail.
A person on skis on a rail at night.,The person skiis,The woman eats a car
A skier in electric green on the edge of a ramp made of metal bars.,The brightly dressed skier slid down the race course.,The jogger ran through the streets.
A yellow uniformed skier is performing a trick across a railed object.,Somebody is engaging in winter sports.,A snowboarder is riding a ski lift.
A blond man is drinking from a public fountain.,The man is drinking water.,The man is drinking coffee.
The man is drinking water.,A blond man is drinking from a public fountain.,A man with a clown nose on rollerskates holding a small crying child in a wizard outfit.
The man is drinking water.,A blond man is drinking from a public fountain.,A man sitting in a large innertube drinking a beer.
The man is drinking water.,A biker takes a drink of water.,A man with a clown nose on rollerskates holding a small crying child in a wizard outfit.
The man is drinking water.,A biker takes a drink of water.,A man sitting in a large innertube drinking a beer.
Wet brown dog swims towards camera.,A dog is in the water.,The dog is sleeping in his bed.
A dog is in the water.,a black dog splashes in the water.,The puppy is eating a dog treat.
A dog is in the water.,a black dog splashes in the water.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,a black dog splashes in the water.,The dog is rolling around in the grass.
A dog is in the water.,a black dog splashes in the water.,The dog is in sand.
A dog is in the water.,a black dog splashes in the water.,two dogs play in a park
A dog is in the water.,a black dog splashes in the water.,A cat is in water and is angry.
A dog is in the water.,The brown and white dog is in the water.,The puppy is eating a dog treat.
A dog is in the water.,The brown and white dog is in the water.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,The brown and white dog is in the water.,The dog is rolling around in the grass.
A dog is in the water.,The brown and white dog is in the water.,The dog is in sand.
A dog is in the water.,The brown and white dog is in the water.,two dogs play in a park
A dog is in the water.,The brown and white dog is in the water.,A cat is in water and is angry.
A dog is in the water.,A black and brown dog is running out of the surf.,The puppy is eating a dog treat.
A dog is in the water.,A black and brown dog is running out of the surf.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A black and brown dog is running out of the surf.,The dog is rolling around in the grass.
A dog is in the water.,A black and brown dog is running out of the surf.,The dog is in sand.
A dog is in the water.,A black and brown dog is running out of the surf.,two dogs play in a park
A dog is in the water.,A black and brown dog is running out of the surf.,A cat is in water and is angry.
A dog is in the water.,The dog is wet.,The puppy is eating a dog treat.
A dog is in the water.,The dog is wet.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,The dog is wet.,The dog is rolling around in the grass.
A dog is in the water.,The dog is wet.,The dog is in sand.
A dog is in the water.,The dog is wet.,two dogs play in a park
A dog is in the water.,The dog is wet.,A cat is in water and is angry.
A dog is in the water.,A dog stands shoulder deep in muddy water.,The puppy is eating a dog treat.
A dog is in the water.,A dog stands shoulder deep in muddy water.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A dog stands shoulder deep in muddy water.,The dog is rolling around in the grass.
A dog is in the water.,A dog stands shoulder deep in muddy water.,The dog is in sand.
A dog is in the water.,A dog stands shoulder deep in muddy water.,two dogs play in a park
A dog is in the water.,A dog stands shoulder deep in muddy water.,A cat is in water and is angry.
A dog is in the water.,A brown dog swims through water outdoors with a tennis ball in its mouth.,The puppy is eating a dog treat.
A dog is in the water.,A brown dog swims through water outdoors with a tennis ball in its mouth.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A brown dog swims through water outdoors with a tennis ball in its mouth.,The dog is rolling around in the grass.
A dog is in the water.,A brown dog swims through water outdoors with a tennis ball in its mouth.,The dog is in sand.
A dog is in the water.,A brown dog swims through water outdoors with a tennis ball in its mouth.,two dogs play in a park
A dog is in the water.,A brown dog swims through water outdoors with a tennis ball in its mouth.,A cat is in water and is angry.
A dog is in the water.,Grayhound dog standing in still water.,The puppy is eating a dog treat.
A dog is in the water.,Grayhound dog standing in still water.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,Grayhound dog standing in still water.,The dog is rolling around in the grass.
A dog is in the water.,Grayhound dog standing in still water.,The dog is in sand.
A dog is in the water.,Grayhound dog standing in still water.,two dogs play in a park
A dog is in the water.,Grayhound dog standing in still water.,A cat is in water and is angry.
A dog is in the water.,A dog swimming though water holding a stick.,The puppy is eating a dog treat.
A dog is in the water.,A dog swimming though water holding a stick.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A dog swimming though water holding a stick.,The dog is rolling around in the grass.
A dog is in the water.,A dog swimming though water holding a stick.,The dog is in sand.
A dog is in the water.,A dog swimming though water holding a stick.,two dogs play in a park
A dog is in the water.,A dog swimming though water holding a stick.,A cat is in water and is angry.
A dog is in the water.,A black and white dog is splashing in a stream.,The puppy is eating a dog treat.
A dog is in the water.,A black and white dog is splashing in a stream.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A black and white dog is splashing in a stream.,The dog is rolling around in the grass.
A dog is in the water.,A black and white dog is splashing in a stream.,The dog is in sand.
A dog is in the water.,A black and white dog is splashing in a stream.,two dogs play in a park
A dog is in the water.,A black and white dog is splashing in a stream.,A cat is in water and is angry.
A dog is in the water.,The large brown dog stands in the choppy water.,The puppy is eating a dog treat.
A dog is in the water.,The large brown dog stands in the choppy water.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,The large brown dog stands in the choppy water.,The dog is rolling around in the grass.
A dog is in the water.,The large brown dog stands in the choppy water.,The dog is in sand.
A dog is in the water.,The large brown dog stands in the choppy water.,two dogs play in a park
A dog is in the water.,The large brown dog stands in the choppy water.,A cat is in water and is angry.
A dog is in the water.,An animal is in the water.,The puppy is eating a dog treat.
A dog is in the water.,An animal is in the water.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,An animal is in the water.,The dog is rolling around in the grass.
A dog is in the water.,An animal is in the water.,The dog is in sand.
A dog is in the water.,An animal is in the water.,two dogs play in a park
A dog is in the water.,An animal is in the water.,A cat is in water and is angry.
A dog is in the water.,Black dog in the water shaking the water off of him.,The puppy is eating a dog treat.
A dog is in the water.,Black dog in the water shaking the water off of him.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,Black dog in the water shaking the water off of him.,The dog is rolling around in the grass.
A dog is in the water.,Black dog in the water shaking the water off of him.,The dog is in sand.
A dog is in the water.,Black dog in the water shaking the water off of him.,two dogs play in a park
A dog is in the water.,Black dog in the water shaking the water off of him.,A cat is in water and is angry.
A dog is in the water.,A black dog walks through the water.,The puppy is eating a dog treat.
A dog is in the water.,A black dog walks through the water.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,A black dog walks through the water.,The dog is rolling around in the grass.
A dog is in the water.,A black dog walks through the water.,The dog is in sand.
A dog is in the water.,A black dog walks through the water.,two dogs play in a park
A dog is in the water.,A black dog walks through the water.,A cat is in water and is angry.
A dog is in the water.,Orange dog walks in shallow water.,The puppy is eating a dog treat.
A dog is in the water.,Orange dog walks in shallow water.,A wakeboarder is traveling across the water behind a ramp.
A dog is in the water.,Orange dog walks in shallow water.,The dog is rolling around in the grass.
A dog is in the water.,Orange dog walks in shallow water.,The dog is in sand.
A dog is in the water.,Orange dog walks in shallow water.,two dogs play in a park
A dog is in the water.,Orange dog walks in shallow water.,A cat is in water and is angry.
A dog is in the water.,A large furry dog walking through the water with a big stick in his mouth.,The puppy is eating a dog treat.
